,,,,,,,,,,,,,,Classification path,Level 1 label,Level 1 probability
id,user,date,timestamp,commentText,likes,hasReplies,numberOfReplies,replies.id,replies.user,replies.date,replies.timestamp,replies.commentText,replies.likes,/Negative/,Negative,0.333
UgyexeEkqKFKLihAebV4AaABAg,dusty rhodes,2 hours ago,1513546942690,John Travolta was a well-known bottom in Hollywood.,0,false,0,,,,,,,/Negative/,Negative,0.691
UgwQJtufxzGXPcURJZV4AaABAg,More Vegan Than You,2 days ago,1513381342693,i accuse ana of looking totally bangable in this vid.,0,false,0,,,,,,,/Negative/,Negative,0.836
Ugx3DwD40W_gR8n4VZJ4AaABAg,GARRY HIXON,4 days ago,1513208542696,I BELIEVE THE SINCERE TRUTH I MEAN THE ACTUAL TRUTH ABOUT RELIGION WILL COME OUT SOMEDAY FOR REAL.....ITS A TRUE STORY..... ITS THAT MARY AND JESUS BEGAT CINDERELLA AND THAT STORY....THE CINDERELLA STORY IS ABOUT A LOWLY PERSON W A MAGIC SLIPPER,0,false,0,,,,,,,/Positive/,Positive,0.545
Ugw8TupdsOQm8Zh9kwJ4AaABAg,Martin D,1 week ago,1512949342699,"No one has any moral responsibility to believe information that comes in any way shape or form from a law enforcement agency.  George W. Bush said it all when everything changed- everything's changed.  They have told me themselves they can't do anything about ""it,"" and I'd rather not feel any more special sorrow for their adult male etc. asses than for anyone else.",0,false,0,,,,,,,/Negative/,Negative,0.926
Ugzu0jqsnzL2b2UCYtN4AaABAg,BClark 77,1 week ago,1512949342703,his john gotti movie has just been shut down :) I am awaiting a response from Scientology. Is that two now?  ;))))),1,true,2,,,,,,,/Positive/,Positive,0.922
,,,,,,,,Ugzu0jqsnzL2b2UCYtN4AaABAg.8_qCBrE5wyv8a8AcSL7zJ4,What do you Think?,3 days ago,1513294943113,Bullshit,1,/Negative/,Negative,0.84
,,,,,,,,Ugzu0jqsnzL2b2UCYtN4AaABAg.8_qCBrE5wyv8a9TWMNUCiX,BClark 77,3 days ago,1513294943115,"What do you Think? I was hoping this was the rock that would take down Scientology Mountain. Turns out, the movie was bought out by another company. Not sure why though... so yeah, unfortunately no shocking news to report",0,/Negative/,Negative,0.998
UgxrIj4kt3am3OthWfV4AaABAg,jimmy johnston,2 weeks ago,1512344542708,TRAVOLTA IS NOT GAY. SHE IS STRAIGHT.,0,false,0,,,,,,,/Negative/,Negative,1
Ugyw9bifYmu6jcXC9YB4AaABAg,jimmy johnston,2 weeks ago,1512344542711,"BULLSHIT, SHILLS. SHE'S A WOMAN.",0,false,0,,,,,,,/Positive/,Positive,0.979
Ugw8jgAiFZNag9w2RAR4AaABAg,The Ghost Dog,2 weeks ago,1512344542715,"xplosive, west coast shit",0,false,0,,,,,,,/Negative/,Negative,0.998
UgwLtJdagJg30k72SvJ4AaABAg,ccm800,2 weeks ago,1512344542718,WHY was the masseur nekkid in a towel?,2,false,0,,,,,,,/Negative/,Negative,0.994
Ugw_qWUgXUDpPDqQoZV4AaABAg,Sean Hayes,2 weeks ago,1512344542721,"Wait, Travolta is gay?!",2,false,0,,,,,,,/Neutral/,Neutral,0.754
UgycUfB1ElyVfkfRiJ94AaABAg,Bat Shit Crazy,2 weeks ago,1512344542725,Am I the only one who saw this coming?,2,false,0,,,,,,,/Neutral/,Neutral,0.404
UgzgK-c1RfYQeGTvGVB4AaABAg,DIVINE COMMERCE,2 weeks ago,1512344542728,"I had the opposite situation...  My masseur brushed my ""other lips"" twice and the second time, I realized it was not an accident...  I made it clear I didn't want the happy ending and never went back!  Never go to an Asian massage place near a military base, lesson learned 👍",0,false,0,,,,,,,/Negative/,Negative,0.781
Ugw3_5XkPFTG6k7emvV4AaABAg,Maatization,2 weeks ago,1512344542731,He's bisexual not gay...he has sex with women (his wife) and men on the sly....that's not gay that's bisexual.  People always overlook that word and go straight for gay...,4,true,1,,,,,,,/Negative/,Negative,0.996
,,,,,,,,Ugw3_5XkPFTG6k7emvV4AaABAg.8_SWkN-Y3E58aDEYW0hIQE,David Nguyen,1 day ago,1513467743150,You're projecting bro.,0,/Positive/,Positive,0.994
Ugywuwf2Mik1pBf1x314AaABAg,Xotimo Jaco,2 weeks ago,1512344542736,"Note the report says that he ""kept taking the towl off"". That is where he crossed a legal line as the state of California legally requires private parts to remain private. In Palm Springs it is unfortunately thought to be ok for men to get there jollys during a massage from other men. I worked there for 8 years and it got worse every year. My female collegues weren't herrassed. Thank you Cenk for correcting the masseuse/ masseure thing. It's French gender based. Actually probably 5o% of MTs don't know that. Haha, but yea we know about John. I said that when he was on Welcome Back Carter in the 70s....So don't hit on your therapist. It ain't welcome!",0,true,1,,,,,,,/Negative/,Negative,0.578
,,,,,,,,Ugywuwf2Mik1pBf1x314AaABAg.8_SPIJFER5D8_SUo0eLWzN,Bobbius Shadow,2 weeks ago,1512344543123,"interesting comment               *masseur (no last ""e"")",0,/Positive/,Positive,0.867
Ugwbi0RVG-jOA5Ogpeh4AaABAg,Metamorphosis Rox,2 weeks ago,1512344542741,"First of all, he could be bisexual. Second, the original comments just sounded like he was hitting on him. Until he grabs the guy, there is no crime here. I'm confused. How are we going to separate actual assault or sexual misconduct from a person hitting on another person?",3,true,2,,,,,,,/Negative/,Negative,0.955
,,,,,,,,Ugwbi0RVG-jOA5Ogpeh4AaABAg.8_S50o7I_5x8_SUyqpkSjA,Bobbius Shadow,2 weeks ago,1512344543132,"he is bisexual, at least..or full on gay",1,/Negative/,Negative,0.441
,,,,,,,,Ugwbi0RVG-jOA5Ogpeh4AaABAg.8_S50o7I_5x8_SWa2MeRli,Maatization,2 weeks ago,1512344543136,if you have s wife and kid you are bisexual,0,/Negative/,Negative,0.549
Ugy-BvLKg_o0BYFkB3B4AaABAg,Peter Perfect,3 weeks ago,1511739742746,Travolta is also a member of the cult Scientology. A complete screwball!,4,false,0,,,,,,,/Negative/,Negative,0.77
